word_lc,cos_dist,count,root_word,lemma_count
ambiguously,0.7351,0.96667,ambiguous,1
amorphous,1.0,0.96667,amorphous,1
ashen,0.46745,0.93333,shapeless,2
baffled,0.71266,0.9,confused,1
barely,0.46637,0.46667,faint,1
bewildered,0.73986,0.96667,confused,1
blurred,1.0,0.93333,blurred,3
confuse,0.57509,0.7,confused,4
confused,1.0,0.96667,confused,6
confusion,0.56763,0.83333,confused,6
dark,0.57897,0.96667,shadowy,26
dazed,0.60219,0.93333,confused,1
dim,1.0,1.0,dim,9
dimly,0.61535,0.93333,dim,2
disembodied,0.50208,0.93333,formless,1
dizzy,0.49341,0.76667,faint,1
dusk,0.46614,0.36667,misty,4
dusty,0.52427,0.9,muddy,1
elusive,0.50255,0.96667,nebulous,1
emptiness,0.52618,0.83333,formless,1
faded,0.58071,0.96667,dim,2
faint,1.0,0.96667,faint,12
faintly,0.64678,0.96667,faint,10
flabby,0.53468,0.9,shapeless,1
flicker,0.53839,0.36667,dim,3
formless,1.0,1.0,formless,1
ghostly,0.61007,0.9,shadowy,6
hardly,0.47535,0.6,faint,9
haze,0.66968,0.86667,hazy,1
hazy,1.0,1.0,hazy,1
hint,0.58033,0.63333,faint,4
impenetrable,0.55575,1.0,opaque,1
incoherent,0.61287,1.0,muddled,3
indecipherable,0.55341,0.96667,indistinct,1
indefinable,0.53605,0.96667,nebulous,1
indefinite,1.0,0.53333,indefinite,2
indefinitely,0.60994,0.26667,indefinite,1
indeterminate,1.0,0.96667,indeterminate,1
indiscernible,0.67515,1.0,indistinct,1
indistinguishably,0.48482,0.86667,indistinct,1
ineffable,0.54807,0.9,formless,1
lightheaded,0.51338,0.7,faint,1
melancholy,0.46656,0.9,misty,2
milky,0.4956,0.86667,misty,1
mist,0.64242,0.63333,misty,2
mistaken,0.56714,0.8,confused,1
misunderstanding,0.51098,0.63333,confused,1
muddy,1.0,0.96667,muddy,1
muffled,0.51854,0.9,indistinct,2
murky,0.66476,1.0,hazy,1
murmur,0.50636,0.36667,faint,16
mysterious,0.673,1.0,shadowy,2
nebulous,1.0,1.0,nebulous,1
notion,0.47031,0.66667,nebulous,2
obscure,1.0,1.0,obscure,1
obscurely,0.59633,1.0,obscure,2
obscurity,0.51281,0.76667,obscure,1
puzzled,0.73214,0.83333,confused,1
scarcely,0.49284,0.83333,faint,7
shadow,0.51658,0.63333,shadowy,13
shadowy,1.0,0.96667,shadowy,1
smoky,0.47712,0.83333,misty,1
uncertain,1.0,0.96667,uncertain,3
uncertainly,0.58038,0.9,uncertain,1
uncertainty,0.61494,0.63333,uncertain,1
undefined,0.61834,0.96667,ill-defined,1
unfamiliar,0.50552,0.9,confused,9
unintelligible,0.47234,0.96667,indistinct,1
unknown,0.60675,0.86667,uncertain,2
vacuous,0.4774,0.96667,nebulous,1
vague,1.0,1.0,vague,5
vaguely,0.58577,0.96667,vague,4
contain,0.2727,1.0,syn_nebulous,3
transpire,0.25958,1.0,syn_nebulous,1
domesticate,0.25862,1.0,syn_nebulous,1
pasquinade,0.24846,1.0,syn_nebulous,1
normandy,0.21858,1.0,syn_nebulous,1
vestibule,0.2112,1.0,syn_nebulous,2
generate,0.19683,1.0,syn_nebulous,1
